"","Date","Household","Government"
"108",2016-10-01,100.236623901095,82.3395032688849
"109",2017-01-01,99.6356130486678,79.6131644214877
"110",2017-04-01,100.074083672297,81.8253221559945
"111",2017-07-01,100.803776699954,79.0353652409883
"112",2017-10-01,99.8896397923451,78.4558916500065
"113",2018-01-01,99.8087936784109,77.7878516021459
"114",2018-04-01,99.2692238326777,77.9153817446131
"115",2018-07-01,99.3286314812782,76.0989531502881
"116",2018-10-01,101.184427490199,78.5893191833348
"117",2019-01-01,100.590016395466,80.0458367857835
"118",2019-04-01,99.5810920663473,80.2922583323244
"119",2019-07-01,100.220670044677,80.5465900127106
"120",2019-10-01,100.098843492839,78.7041843603469
"121",2020-01-01,104.509203047059,85.5450555592661
"122",2020-04-01,119.194876523252,118.385601896756
"123",2020-07-01,107.382745549398,106.652312383049
