"","Date","export"
"256",2021-04-01,50088700000
"257",2021-05-01,49432900000
"258",2021-06-01,53310900000
"259",2021-07-01,53802200000
"260",2021-08-01,53933800000
"261",2021-09-01,52677300000
"262",2021-10-01,56400700000
"263",2021-11-01,58215900000
"264",2021-12-01,56993900000
"265",2022-01-01,57873100000
"266",2022-02-01,60996500000
"267",2022-03-01,64469500000
"268",2022-04-01,65866300000
"269",2022-05-01,68227400000
"270",2022-06-01,69212300000
"271",2022-07-01,66486900000
"272",2022-08-01,65227700000
"273",2022-09-01,66201900000
"274",2022-10-01,66325100000
"275",2022-11-01,64111600000
"276",2022-12-01,64218100000
"277",2023-01-01,66387800000
"278",2023-02-01,63809800000
"279",2023-03-01,62892500000
"280",2023-04-01,63801500000
"281",2023-05-01,62061900000
"282",2023-06-01,60145400000
"283",2023-07-01,61061500000
"284",2023-08-01,64556500000
